From	To
P52434	POLR2H
P07237	P4HB
P62269	RPS18
P61106	RAB14
P27708	CAD
Q9H6Q4	CIAO3
Q9H4B4	PLK3
P37198	NUP62
P50213	IDH3A
Q9UBI1	COMMD3
Q86Y82	STX12
Q9Y3Z3	SAMHD1
Q9UBQ0	VPS29
Q03135	CAV1
P01009	SERPINA1
Q9Y3E0	GOLT1B
Q9BXJ7	AMN
Q8N655	LCOR
P12830	CDH1
O43169	CYB5B
P07195	LDHB
P12814	ACTN1
Q05707	COL14A1
O60673	REV3L
P22307	SCP2
Q04637	EIF4G1
Q9BTV4	TMEM43
P09622	DLD
P48047	ATP5PO
Q1KMD3	HNRNPUL2
Q9H0W9	C11orf54
Q14204	DYNC1H1
Q02338	BDH1
Q16134	ETFDH
Q16774	GUK1
Q5SNV9	C1orf167
Q15904	ATP6AP1
Q96IY4	CPB2
Q01415	GALK2
P25774	CTSS
P36957	DLST
P78357	CNTNAP1
P15924	DSP
P68366	TUBA4A
Q5HYA8	TMEM67
P51572	BCAP31
O00401	WASL
O60610	DIAPH1
Q9H9B4	SFXN1
Q13356	PPIL2
P07814	EPRS1
P04114	APOB
Q16853	AOC3
Q15417	CNN3
P35637	FUS
Q14195	DPYSL3
Q9Y3D2	MSRB2
Q96EP5	DAZAP1
P29728	OAS2
Q9UEW8	STK39
P06576	ATP5F1B
O75935	DCTN3
O00170	AIP
O43765	SGTA
Q99584	S100A13
Q10471	GALNT2
P36551	CPOX
Q9UDR5	AASS
Q9UNE7	STUB1
P31431	SDC4
Q8N1F7	NUP93
Q96HS1	PGAM5
Q14651	PLS1
P12532	CKMT1A
P12532	CKMT1B
O75955	FLOT1
Q9GZM7	TINAGL1
Q9NUQ9	CYRIB
Q9HB71	CACYBP
P35580	MYH10
Q9GZZ9	UBA5
Q9Y6B6	SAR1B
Q9UJW2	TINAG
P24752	ACAT1
Q8WZ42	TTN
Q9BRA2	TXNDC17
O96007	MOCS2
Q9Y3B3	TMED7
Q9HCJ6	VAT1L
Q96HC4	PDLIM5
P01860	IGHG3
Q9ULZ3	PYCARD
P54136	RARS1
P06753	TPM3
Q8NF91	SYNE1
P54819	AK2
Q9BV38	WDR18
Q9UNH7	SNX6
Q53SF7	COBLL1
P51659	HSD17B4
P78527	PRKDC
Q9HCH5	SYTL2
O95336	PGLS
Q5JU85	IQSEC2
P04264	KRT1
Q9NP97	DYNLRB1
P15153	RAC2
Q00796	SORD
Q92820	GGH
Q15274	QPRT
Q8WVY7	UBLCP1
P08238	HSP90AB1
Q5TDH0	DDI2
Q9UN36	NDRG2
P13797	PLS3
O94886	TMEM63A
Q5TEZ5	C6orf163
Q9HBJ8	CLTRN
Q9BR76	CORO1B
Q9UIQ6	LNPEP
Q86W92	PPFIBP1
P31930	UQCRC1
A0AVI2	FER1L5
Q06323	PSME1
Q9BVG4	PBDC1
P31939	ATIC
Q969X5	ERGIC1
P30041	PRDX6
P50993	ATP1A2
P11234	RALB
O75347	TBCA
P63104	YWHAZ
Q14247	CTTN
P82979	SARNP
Q96LD4	TRIM47
Q99798	ACO2
P19338	NCL
P20290	BTF3
P20618	PSMB1
Q6P179	ERAP2
Q92817	EVPL
P57105	SYNJ2BP
P48735	IDH2
O76094	SRP72
P23297	S100A1
P02671	FGA
P61158	ACTR3
P60953	CDC42
P80365	HSD11B2
P62861	FAU
P56199	ITGA1
O75436	VPS26A
Q96LB4	ATP6V1G3
Q9GZT3	SLIRP
Q8NFV4	ABHD11
P37837	TALDO1
P17987	TCP1
Q96C86	DCPS
P35908	KRT2
Q9Y2R5	MRPS17
Q96CG8	CTHRC1
P62195	PSMC5
Q9Y6N5	SQOR
O15372	EIF3H
Q9UHD8	SEPTIN9
P05452	CLEC3B
P51884	LUM
P13284	IFI30
P42285	MTREX
Q9BVK6	TMED9
Q9H223	EHD4
P51801	CLCNKB
Q15907	RAB11B
Q01449	MYL7
Q6P4A8	PLBD1
Q8N370	SLC43A2
O95154	AKR7A3
P0DJI8	SAA1
P09234	SNRPC
Q00059	TFAM
P62937	PPIA
Q6ZWH5	NEK10
Q96JB5	CDK5RAP3
Q9BWS9	CHID1
